state,const,id,:=,;,+,-,*,/,(,),$,program,statements,statement,expression,term_tail,term,factor_tail,factor,CONST,ID,assignment_op,semi_colon,add_op,mult_op,left_paren,right_paren
0,,S4,,,,,,,,,,,1,2,,,,,,,3,,,,,,
1,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
2,,,,S6,,,,,,,R1,,,,,,,,,,,,5,,,,
3,,,S8,,,,,,,,,,,,,,,,,,,7,,,,,
4,,,R14,R14,R14,R14,R14,R14,,R14,R14,,,,,,,,,,,,,,,,
5,,S4,,,,,,,,,,,9,2,,,,,,,3,,,,,,
6,,R16,,,,,,,,,,,,,,,,,,,,,,,,,
7,S17,S4,,,,,,,S16,,,,,,10,,11,,12,15,14,,,,,13,
8,R15,R15,,,,,,,R15,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,R2,,,,,,,,,,,,,,,,
10,,,,R3,,,,,,,R3,,,,,,,,,,,,,,,,
11,,,,R6,S20,S21,,,,R6,R6,,,,,18,,,,,,,,19,,,
12,,,,R9,R9,R9,S24,S25,,R9,R9,,,,,,,22,,,,,,,23,,
13,S17,S4,,,,,,,S16,,,,,,26,,11,,12,15,14,,,,,13,
14,,,,R11,R11,R11,R11,R11,,R11,R11,,,,,,,,,,,,,,,,
15,,,,R12,R12,R12,R12,R12,,R12,R12,,,,,,,,,,,,,,,,
16,R21,R21,,,,,,,R21,,,,,,,,,,,,,,,,,,
17,,,,R13,R13,R13,R13,R13,,R13,R13,,,,,,,,,,,,,,,,
18,,,,R4,,,,,,R4,R4,,,,,,,,,,,,,,,,
19,S17,S4,,,,,,,S16,,,,,,,,27,,12,15,14,,,,,13,
20,R17,R17,,,,,,,R17,,,,,,,,,,,,,,,,,,
21,R18,R18,,,,,,,R18,,,,,,,,,,,,,,,,,,
22,,,,R7,R7,R7,,,,R7,R7,,,,,,,,,,,,,,,,
23,S17,S4,,,,,,,S16,,,,,,,,,,28,15,14,,,,,13,
24,R19,R19,,,,,,,R19,,,,,,,,,,,,,,,,,,
25,R20,R20,,,,,,,R20,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,S30,,,,,,,,,,,,,,,,,29
27,,,,R6,S20,S21,,,,R6,R6,,,,,31,,,,,,,,19,,,
28,,,,R9,R9,R9,S24,S25,,R9,R9,,,,,,,32,,,,,,,23,,
29,,,,R10,R10,R10,R10,R10,,R10,R10,,,,,,,,,,,,,,,,
30,,,,R22,R22,R22,R22,R22,,R22,R22,,,,,,,,,,,,,,,,
31,,,,R5,,,,,,R5,R5,,,,,,,,,,,,,,,,
32,,,,R8,R8,R8,,,,R8,R8,,,,,,,,,,,,,,,,